 TOUR Championship by Coca-Cola ;38;2013; T14 ;5.55
 BMW Championship ;37;2013; T28 ;3.26
 Deutsche Bank Championship ;35;2013; T53 ;1.36
 The Barclays ;34;2013;1;74
 US PGA CHAMPIONSHIP ;32;2013; T5 ;22
 World Golf Championships-Bridgestone Invitational ;31;2013; T14 ;7.22
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; T3 ;31.33
 AT&T National ;26;2013; T57 ;0
 U.S. OPEN CHAMPIONSHIP ;24;2013; T45 ;2.65
 The Memorial Tournament presented by Nationwide Insurance ;22;2013; T13 ;7.12
 THE PLAYERS Championship ;19;2013; T19 ;5.01
 MASTERS TOURNAMENT ;15;2013;1;100
 Tampa Bay Championship ;11;2013; T30 ;2.16
 WGC - Cadillac Championship ;10;2013; T3 ;21.09
 WGC - Accenture Match Play Championship ;8;2013; T33 ;2
 Northern Trust Open ;7;2013; T10 ;7.8
 Emirates Australian Open ;49;2012; T14 ;2.96
 Talisker Masters ;46;2012;1;20
 Barclays Singapore Open ;45;2012; T5 ;10.56
 WGC-HSBC Champions ;44;2012;8;10.24
 TOUR Championship by Coca-Cola ;38;2012;19;4.66
 BMW Championship ;36;2012; T6 ;13.3
 Deutsche Bank Championship ;35;2012; T7 ;12.58
 The Barclays ;34;2012;62;0
 US PGA CHAMPIONSHIP ;32;2012; T11 ;10.43
 WGC-Bridgestone Invitational ;31;2012; T45 ;2.13
 141st OPEN CHAMPIONSHIP ;29;2012;2;60
 AT&T National ;26;2012;3;19.2
 U.S. OPEN CHAMPIONSHIP ;24;2012; T15 ;8.25
 the Memorial Tournament presented by Nationwide Insurance ;22;2012; T46 ;1.87
 HP Byron Nelson Championship ;20;2012; MC ;0
 THE PLAYERS Championship ;19;2012; T15 ;6.2
 Ballantine's Championship ;17;2012; T12 ;3.52
 MASTERS TOURNAMENT ;14;2012; T8 ;15
 WGC - Cadillac Championship ;10;2012; T13 ;7.71
 WGC - Accenture Match Play Championship ;8;2012; T33 ;2.05
 Northern Trust Open ;7;2012; T17 ;4.37
 Australian PGA Championship ;48;2011; T4 ;9.18
 Australian Open ;46;2011; T4 ;9.07
 World Golf Championships - HSBC Champions ;45;2011; T11 ;7.75
