 TOUR Championship by Coca-Cola ;38;2013; T20 ;4.05
 BMW Championship ;37;2013; T8 ;10.8
 Deutsche Bank Championship ;35;2013; T47 ;1.89
 The Barclays ;34;2013; MC ;0
 Wyndham Championship ;33;2013; MC ;0
 US PGA CHAMPIONSHIP ;32;2013; T66 ;1.5
 World Golf Championships-Bridgestone Invitational ;31;2013; T33 ;3.04
 RBC Canadian Open ;30;2013;1;46
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; T11 ;12.5
 AT&T National ;26;2013; T8 ;6.44
 U.S. OPEN CHAMPIONSHIP ;24;2013; T17 ;7.75
 FedEx St. Jude Classic ;23;2013; MC ;0
 The Memorial Tournament presented by Nationwide Insurance ;22;2013; MC ;0
 THE PLAYERS Championship ;19;2013; T8 ;10.4
 RBC Heritage ;16;2013; T59 ;0
 MASTERS TOURNAMENT ;15;2013; T6 ;19
 Shell Houston Open ;13;2013; MC ;0
 Arnold Palmer Invitational presented by MasterCard ;12;2013; MC ;0
 AT&T Pebble Beach National Pro-Am ;6;2013;1;40
 Waste Management Phoenix Open ;5;2013;2;31.2
 Farmers Insurance Open ;4;2013; T2 ;25
 Humana Challenge in partnership with the Clinton Foundation ;3;2013; T23 ;2.42
 Hyundai Tournament of Champions ;1;2013;3;18.4
 World Challenge presented by Northwestern Mutual ;48;2012; T13 ;4.62
 WGC-HSBC Champions ;44;2012; T11 ;7.1
 TOUR Championship by Coca-Cola ;38;2012;1;62
 BMW Championship ;36;2012; T37 ;2.56
 Deutsche Bank Championship ;35;2012;6;14.8
 The Barclays ;34;2012;2;44.4
 Wyndham Championship ;33;2012; T28 ;1.95
 US PGA CHAMPIONSHIP ;32;2012; MC ;0
 WGC-Bridgestone Invitational ;31;2012; T50 ;1.75
 RBC Canadian Open ;30;2012; T34 ;1.44
 141st OPEN CHAMPIONSHIP ;29;2012; T3 ;35
 The Greenbrier Classic ;27;2012; T38 ;1.61
 the Memorial Tournament presented by Nationwide Insurance ;22;2012; WD ;0
 Volvo World Match Play Championship ;20;2012; T5 ;6.63
 THE PLAYERS Championship ;19;2012; MC ;0
 RBC Heritage ;15;2012; T17 ;4.01
 MASTERS TOURNAMENT ;14;2012; T19 ;6.56
 Arnold Palmer Invitational presented by MasterCard ;12;2012; T63 ;0
 Transitions Championship ;11;2012; T29 ;2.44
 WGC - Cadillac Championship ;10;2012; T45 ;2.18
 WGC - Accenture Match Play Championship ;8;2012; T9 ;8.88
 Northern Trust Open ;7;2012; T17 ;4.37
 Waste Management Phoenix Open ;5;2012; T50 ;1.21
 Farmers Insurance Open ;4;2012;1;48
 Humana Challenge ;3;2012; T8 ;6.38
 CIMB Asia Pacific Classic ;44;2011; T13 ;2.8
 Bridgestone Open ;43;2011; T6 ;4.18
 The McGladrey Classic ;42;2011; T32 ;1.58
