 TOUR Championship by Coca-Cola ;38;2013;1;60
 BMW Championship ;37;2013; T33 ;2.84
 Deutsche Bank Championship ;35;2013;1;74
 The Barclays ;34;2013; T43 ;2.15
 US PGA CHAMPIONSHIP ;32;2013;3;40
 World Golf Championships-Bridgestone Invitational ;31;2013; T2 ;38
 THE 142nd OPEN CHAMPIONSHIP ;29;2013;2;60
 Aberdeen Asset Management Scottish Open ;28;2013; T3 ;14.7
 BMW International Open ;25;2013; T10 ;3.48
 U.S. OPEN CHAMPIONSHIP ;24;2013; T21 ;5.64
 The Memorial Tournament presented by Nationwide Insurance ;22;2013; T41 ;2.1
 Crowne Plaza Invitational at Colonial ;21;2013; T35 ;1.7
 Volvo World Match Play Championship ;20;2013; T17 ;2.2
 THE PLAYERS Championship ;19;2013; T5 ;16.53
 Wells Fargo Championship ;18;2013; MC ;0
 MASTERS TOURNAMENT ;15;2013; T18 ;7.75
 Shell Houston Open ;13;2013; T2 ;28
 Arnold Palmer Invitational presented by MasterCard ;12;2013; T8 ;9.24
 Puerto Rico Open presented by seepuertorico.com ;10;2013; T39 ;0
 The Honda Classic ;9;2013; MC ;0
 WGC - Accenture Match Play Championship ;8;2013; T33 ;2
 Omega Dubai Desert Classic ;5;2013; T26 ;1.77
 Commercial Bank Qatar Masters ;4;2013; T16 ;3.72
 Abu Dhabi HSBC Golf Championship ;3;2013; T23 ;2.72
 Volvo Golf Champions ;2;2013; T22 ;2.24
 DP World Tour Championship ;47;2012; T7 ;9.86
 SA Open Championship ;46;2012;1;32
 Children's Miracle Network Hospitals Classic ;45;2012; T19 ;1.44
 BMW Masters ;43;2012; T26 ;2.75
 The McGladrey Classic ;42;2012; T27 ;1.21
 Portugal Masters ;41;2012; T6 ;5.44
 Alfred Dunhill Links Championship ;40;2012; MC ;0
 KLM Open ;36;2012; T5 ;6.2
 Omega European Masters ;35;2012; MC ;0
 The Barclays ;34;2012; T54 ;1.33
 Wyndham Championship ;33;2012; WD ;0
 Aberdeen Asset Management Scottish Open ;28;2012; T8 ;7.2
 ALSTOM Open de France ;27;2012; T7 ;7.82
 BMW International Open ;25;2012; T6 ;5.7
 FedEx St. Jude Classic ;23;2012; T13 ;3.18
 the Memorial Tournament presented by Nationwide Insurance ;22;2012; T46 ;1.87
 Crowne Plaza Invitational at Colonial ;21;2012; MC ;0
 THE PLAYERS Championship ;19;2012; T15 ;6.2
 Wells Fargo Championship ;18;2012; MC ;0
 RBC Heritage ;15;2012; MC ;0
 MASTERS TOURNAMENT ;14;2012; T40 ;3.35
 Shell Houston Open ;13;2012; T21 ;2.77
 Arnold Palmer Invitational presented by MasterCard ;12;2012; T15 ;4.76
 Puerto Rico Open ;10;2012; T3 ;8.4
 Honda Classic ;9;2012; T21 ;2.93
 Omega Dubai Desert Classic ;6;2012; T20 ;3.04
 Commercialbank Qatar Masters presented by Dolphin Energy ;5;2012; MC ;0
