 TOUR Championship by Coca-Cola ;38;2013; T9 ;8.4
 BMW Championship ;37;2013; T54 ;1.44
 Deutsche Bank Championship ;35;2013; T9 ;9.99
 The Barclays ;34;2013; T37 ;2.71
 US PGA CHAMPIONSHIP ;32;2013;1;100
 World Golf Championships-Bridgestone Invitational ;31;2013; T4 ;18.75
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; T26 ;4.75
 Travelers Championship ;25;2013; MC ;0
 U.S. OPEN CHAMPIONSHIP ;24;2013; T4 ;23
 Crowne Plaza Invitational at Colonial ;21;2013; T46 ;1.23
 HP Byron Nelson Championship ;20;2013; T33 ;1.5
 THE PLAYERS Championship ;19;2013; T62 ;0
 Zurich Classic of New Orleans ;17;2013; T42 ;1.36
 RBC Heritage ;16;2013; T35 ;1.92
 MASTERS TOURNAMENT ;15;2013; T20 ;6.18
 Arnold Palmer Invitational presented by MasterCard ;12;2013; MC ;0
 Tampa Bay Championship ;11;2013; T21 ;2.99
 WGC - Cadillac Championship ;10;2013; T12 ;7.87
 The Honda Classic ;9;2013; T51 ;1.24
 WGC - Accenture Match Play Championship ;8;2013; T33 ;2
 Waste Management Phoenix Open ;5;2013; MC ;0
 Commercial Bank Qatar Masters ;4;2013; T9 ;5.79
 Abu Dhabi HSBC Golf Championship ;3;2013; T9 ;6.31
 Hyundai Tournament of Champions ;1;2013; T18 ;3.22
 World Challenge presented by Northwestern Mutual ;48;2012; T15 ;4.07
 WGC-HSBC Champions ;44;2012; T2 ;24.64
 CIMB Classic ;43;2012; T16 ;2.79
 ISPS HANDA Perth International ;42;2012;2;13.2
 TOUR Championship by Coca-Cola ;38;2012; T20 ;4.19
 BMW Championship ;36;2012; T28 ;3.13
 Deutsche Bank Championship ;35;2012; T18 ;5.74
 Wyndham Championship ;33;2012; T7 ;6.86
 US PGA CHAMPIONSHIP ;32;2012; T27 ;4.66
 WGC-Bridgestone Invitational ;31;2012;7;13.68
 141st OPEN CHAMPIONSHIP ;29;2012; T31 ;4.3
 U.S. OPEN CHAMPIONSHIP ;24;2012; T4 ;21.6
 Crowne Plaza Invitational at Colonial ;21;2012;2;30
 HP Byron Nelson Championship ;20;2012;1;38
 THE PLAYERS Championship ;19;2012; T68 ;0
 Zurich Classic of New Orleans ;17;2012;1;52
 RBC Heritage ;15;2012; T24 ;2.6
 MASTERS TOURNAMENT ;14;2012; T24 ;5.4
 Arnold Palmer Invitational presented by MasterCard ;12;2012; T15 ;4.76
 Transitions Championship ;11;2012; T10 ;7.25
 WGC - Cadillac Championship ;10;2012; T29 ;3.4
 WGC - Accenture Match Play Championship ;8;2012; T33 ;2.05
 Northern Trust Open ;7;2012; T52 ;1.33
 Waste Management Phoenix Open ;5;2012; T8 ;7.25
 Humana Challenge ;3;2012; T12 ;5.06
 Sony Open in Hawaii ;2;2012; MC ;0
 Nedbank Golf Challenge ;49;2011; T3 ;13.3
 CIMB Asia Pacific Classic ;44;2011; T10 ;3.9
