 TOUR Championship by Coca-Cola ;38;2013;6;12
 BMW Championship ;37;2013; T33 ;2.84
 Deutsche Bank Championship ;35;2013; T16 ;6.11
 The Barclays ;34;2013; T2 ;28.49
 US PGA CHAMPIONSHIP ;32;2013; T33 ;3.9
 World Golf Championships-Bridgestone Invitational ;31;2013; T17 ;6.27
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; MC ;0
 Travelers Championship ;25;2013; T13 ;4.61
 U.S. OPEN CHAMPIONSHIP ;24;2013;1;100
 The Memorial Tournament presented by Nationwide Insurance ;22;2013; T8 ;9.8
 BMW PGA CHAMPIONSHIP ;21;2013; T50 ;1.41
 THE PLAYERS Championship ;19;2013; MC ;0
 Zurich Classic of New Orleans ;17;2013; T15 ;3.63
 MASTERS TOURNAMENT ;15;2013; T25 ;4.65
 Arnold Palmer Invitational presented by MasterCard ;12;2013;2;39.6
 WGC - Cadillac Championship ;10;2013; T8 ;10.73
 The Honda Classic ;9;2013; T4 ;12.1
 WGC - Accenture Match Play Championship ;8;2013; T17 ;4.31
 Commercial Bank Qatar Masters ;4;2013; T16 ;3.72
 Abu Dhabi HSBC Golf Championship ;3;2013; T2 ;27
 Emirates Australian Open ;49;2012; T4 ;7.89
 Nedbank Golf Challenge ;48;2012;11;3.9
 DP World Tour Championship ;47;2012;2;34.8
 WGC-HSBC Champions ;44;2012; T24 ;3.39
 BMW Masters ;43;2012; T6 ;9.3
 TOUR Championship by Coca-Cola ;38;2012;2;37.2
 BMW Championship ;36;2012; T16 ;5.11
 Deutsche Bank Championship ;35;2012; MC ;0
 The Barclays ;34;2012; T46 ;1.89
 US PGA CHAMPIONSHIP ;32;2012; T3 ;28.5
 WGC-Bridgestone Invitational ;31;2012; T5 ;16.72
 141st OPEN CHAMPIONSHIP ;29;2012; MC ;0
 ALSTOM Open de France ;27;2012; T9 ;6.67
 U.S. OPEN CHAMPIONSHIP ;24;2012; T21 ;5.75
 the Memorial Tournament presented by Nationwide Insurance ;22;2012;8;10.88
 BMW PGA Championship ;21;2012; T2 ;32
 Volvo World Match Play Championship ;20;2012; T9 ;3.98
 THE PLAYERS Championship ;19;2012; T51 ;1.76
 Zurich Classic of New Orleans ;17;2012; T10 ;6.76
 MASTERS TOURNAMENT ;14;2012; T8 ;15
 Arnold Palmer Invitational presented by MasterCard ;12;2012; T15 ;4.76
 Transitions Championship ;11;2012; T29 ;2.44
 WGC - Cadillac Championship ;10;2012;1;78
 Honda Classic ;9;2012; T5 ;11
 WGC - Accenture Match Play Championship ;8;2012; T33 ;2.05
 Northern Trust Open ;7;2012; T13 ;6.13
 Farmers Insurance Open ;4;2012; T33 ;1.8
 UBS Hong Kong Open ;49;2011; MC ;0
 Barclays Singapore Open ;46;2011; T9 ;6.67
 World Golf Championships - HSBC Champions ;45;2011; T7 ;10.13
 Andaluci‡ Masters ;44;2011; T28 ;1.68
 Children's Miracle Network Classic ;43;2011; MC ;0
