 TOUR Championship by Coca-Cola ;38;2013; T26 ;3.06
 BMW Championship ;37;2013; T24 ;3.82
 Deutsche Bank Championship ;35;2013; T4 ;17.02
 The Barclays ;34;2013; T19 ;4.74
 US PGA CHAMPIONSHIP ;32;2013; T22 ;5.8
 World Golf Championships-Bridgestone Invitational ;31;2013; T27 ;3.49
 RBC Canadian Open ;30;2013; T2 ;17.71
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; T15 ;8.25
 Alstom Open de France ;27;2013; T49 ;0
 U.S. OPEN CHAMPIONSHIP ;24;2013; T28 ;4.58
 The Memorial Tournament presented by Nationwide Insurance ;22;2013;1;70
 Crowne Plaza Invitational at Colonial ;21;2013;2;27.6
 HP Byron Nelson Championship ;20;2013; T33 ;1.5
 THE PLAYERS Championship ;19;2013; T48 ;1.92
 RBC Heritage ;16;2013; T35 ;1.92
 MASTERS TOURNAMENT ;15;2013; T8 ;15
 Valero Texas Open ;14;2013; T22 ;2.38
 Tampa Bay Championship ;11;2013; T14 ;4.94
 WGC - Cadillac Championship ;10;2013; T35 ;2.85
 WGC - Accenture Match Play Championship ;8;2013;1;74
 Northern Trust Open ;7;2013; T38 ;2.13
 Humana Challenge in partnership with the Clinton Foundation ;3;2013; T16 ;3.3
 Sony Open in Hawaii ;2;2013; T5 ;7.85
 Hyundai Tournament of Champions ;1;2013; T9 ;6.67
 World Challenge presented by Northwestern Mutual ;48;2012; T11 ;5.5
 UBS Hong Kong Open ;46;2012;7;5.76
 TOUR Championship by Coca-Cola ;38;2012; T10 ;7.44
 BMW Championship ;36;2012; T54 ;1.44
 Deutsche Bank Championship ;35;2012; T35 ;2.85
 The Barclays ;34;2012; T38 ;2.48
 US PGA CHAMPIONSHIP ;32;2012; MC ;0
 WGC-Bridgestone Invitational ;31;2012; T8 ;9.55
 RBC Canadian Open ;30;2012; T34 ;1.44
 141st OPEN CHAMPIONSHIP ;29;2012; T9 ;11
 Travelers Championship ;25;2012; T8 ;6.9
 U.S. OPEN CHAMPIONSHIP ;24;2012; T27 ;4.9
 Crowne Plaza Invitational at Colonial ;21;2012; T26 ;2.41
 HP Byron Nelson Championship ;20;2012; T15 ;3.33
 THE PLAYERS Championship ;19;2012;1;80
 Valero Texas Open ;16;2012; T13 ;2.3
 RBC Heritage ;15;2012; T44 ;1.38
 MASTERS TOURNAMENT ;14;2012; T3 ;28.5
 Transitions Championship ;11;2012; T10 ;7.25
 WGC - Cadillac Championship ;10;2012; T8 ;11.31
 WGC - Accenture Match Play Championship ;8;2012; T5 ;14.82
 Northern Trust Open ;7;2012; T24 ;3.02
 Waste Management Phoenix Open ;5;2012; T33 ;1.95
 Humana Challenge ;3;2012; T22 ;2.51
 Chevron World Challenge ;49;2011; T4 ;11.88
 Australian Open ;46;2011; MC ;0
 The McGladrey Classic ;42;2011; T20 ;2.54
