 TOUR Championship by Coca-Cola ;38;2013; T12 ;6.9
 BMW Championship ;37;2013; T33 ;2.84
 Deutsche Bank Championship ;35;2013; T41 ;2.33
 The Barclays ;34;2013; T6 ;13.32
 US PGA CHAMPIONSHIP ;32;2013; T72 ;1.5
 World Golf Championships-Bridgestone Invitational ;31;2013; T21 ;4.37
 THE 142nd OPEN CHAMPIONSHIP ;29;2013;1;100
 Aberdeen Asset Management Scottish Open ;28;2013;1;42
 The Greenbrier Classic ;27;2013; MC ;0
 U.S. OPEN CHAMPIONSHIP ;24;2013; T2 ;50
 FedEx St. Jude Classic ;23;2013; T2 ;17
 THE PLAYERS Championship ;19;2013; MC ;0
 Wells Fargo Championship ;18;2013;3;20.8
 MASTERS TOURNAMENT ;15;2013; T54 ;1.95
 Shell Houston Open ;13;2013; T16 ;4.62
 Arnold Palmer Invitational presented by MasterCard ;12;2013; MC ;0
 WGC - Cadillac Championship ;10;2013; T3 ;21.09
 Northern Trust Open ;7;2013; T21 ;3.45
 AT&T Pebble Beach National Pro-Am ;6;2013; T60 ;0
 Waste Management Phoenix Open ;5;2013;1;52
 Farmers Insurance Open ;4;2013; T51 ;1.2
 Humana Challenge in partnership with the Clinton Foundation ;3;2013; T37 ;1.47
 Barclays Singapore Open ;45;2012; T14 ;4.56
 WGC-HSBC Champions ;44;2012; T2 ;24.64
 TOUR Championship by Coca-Cola ;38;2012; T15 ;5.43
 BMW Championship ;36;2012; T2 ;35
 Deutsche Bank Championship ;35;2012; T4 ;19.98
 The Barclays ;34;2012; T38 ;2.48
 US PGA CHAMPIONSHIP ;32;2012; T36 ;3.65
 WGC-Bridgestone Invitational ;31;2012; T43 ;2.4
 141st OPEN CHAMPIONSHIP ;29;2012; MC ;0
 Aberdeen Asset Management Scottish Open ;28;2012; T16 ;3.5
 The Greenbrier Classic ;27;2012; MC ;0
 U.S. OPEN CHAMPIONSHIP ;24;2012; T65 ;1.5
 the Memorial Tournament presented by Nationwide Insurance ;22;2012; WD ;0
 HP Byron Nelson Championship ;20;2012; T7 ;6.46
 THE PLAYERS Championship ;19;2012; T25 ;3.72
 Wells Fargo Championship ;18;2012; T26 ;2.76
 MASTERS TOURNAMENT ;14;2012; T3 ;28.5
 Shell Houston Open ;13;2012; T4 ;11.5
 Arnold Palmer Invitational presented by MasterCard ;12;2012; T24 ;2.91
 WGC - Cadillac Championship ;10;2012; T43 ;2.46
 Northern Trust Open ;7;2012; T2 ;31
 AT&T Pebble Beach Pro-Am ;6;2012;1;38
 Waste Management Phoenix Open ;5;2012; T26 ;2.35
 Farmers Insurance Open ;4;2012; MC ;0
 Humana Challenge ;3;2012; T49 ;0
 Barclays Singapore Open ;46;2011; T33 ;1.66
