 BMW Championship ;37;2013; T59 ;0
 Deutsche Bank Championship ;35;2013; T47 ;1.89
 The Barclays ;34;2013; T19 ;4.74
 US PGA CHAMPIONSHIP ;32;2013; T8 ;14.5
 World Golf Championships-Bridgestone Invitational ;31;2013; T27 ;3.49
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; MC ;0
 The Irish Open ;26;2013; MC ;0
 U.S. OPEN CHAMPIONSHIP ;24;2013; T41 ;3.25
 The Memorial Tournament presented by Nationwide Insurance ;22;2013; T57 ;1.21
 BMW PGA CHAMPIONSHIP ;21;2013; MC ;0
 THE PLAYERS Championship ;19;2013; T8 ;10.4
 Wells Fargo Championship ;18;2013; T10 ;6.02
 MASTERS TOURNAMENT ;15;2013; T25 ;4.65
 Valero Texas Open ;14;2013;2;26.4
 Shell Houston Open ;13;2013; T45 ;1.57
 WGC - Cadillac Championship ;10;2013; T8 ;10.73
 The Honda Classic ;9;2013; WD ;0
 WGC - Accenture Match Play Championship ;8;2013; T33 ;2
 Abu Dhabi HSBC Golf Championship ;3;2013; MC ;0
 DP World Tour Championship ;47;2012;1;58
 UBS Hong Kong Open ;46;2012; MC ;0
 Barclays Singapore Open ;45;2012;3;19.2
 BMW Masters ;43;2012;2;33.6
 TOUR Championship by Coca-Cola ;38;2012; T10 ;7.44
 BMW Championship ;36;2012;1;70
 Deutsche Bank Championship ;35;2012;1;74
 The Barclays ;34;2012; T24 ;3.46
 US PGA CHAMPIONSHIP ;32;2012;1;100
 WGC-Bridgestone Invitational ;31;2012; T5 ;16.72
 141st OPEN CHAMPIONSHIP ;29;2012; T60 ;1.5
 Irish Open ;26;2012; T10 ;4.4
 U.S. OPEN CHAMPIONSHIP ;24;2012; MC ;0
 FedEx St. Jude Classic ;23;2012; T7 ;5.36
 the Memorial Tournament presented by Nationwide Insurance ;22;2012; MC ;0
 BMW PGA Championship ;21;2012; MC ;0
 THE PLAYERS Championship ;19;2012; MC ;0
 Wells Fargo Championship ;18;2012; T2 ;29
 MASTERS TOURNAMENT ;14;2012; T40 ;3.35
 WGC - Cadillac Championship ;10;2012;3;31.2
 Honda Classic ;9;2012;1;50
 WGC - Accenture Match Play Championship ;8;2012;2;45.6
 Omega Dubai Desert Classic ;6;2012; T5 ;9.36
 Abu Dhabi HSBC Championship ;4;2012;2;34.8
 Dubai World Championship ;50;2011; T11 ;6.44
 UBS Hong Kong Open ;49;2011;1;38
 World Golf Championships - HSBC Champions ;45;2011; T4 ;15.29
