 TOUR Championship by Coca-Cola ;38;2013; T2 ;30
 BMW Championship ;37;2013; T4 ;16.56
 Deutsche Bank Championship ;35;2013;2;44.4
 US PGA CHAMPIONSHIP ;32;2013; T12 ;9.71
 World Golf Championships-Bridgestone Invitational ;31;2013;13;8.36
 John Deere Classic ;28;2013; T10 ;4.86
 U.S. OPEN CHAMPIONSHIP ;24;2013; T8 ;15.5
 THE PLAYERS Championship ;19;2013; T37 ;2.84
 MASTERS TOURNAMENT ;15;2013; T20 ;6.18
 Shell Houston Open ;13;2013; T38 ;1.91
 WGC - Cadillac Championship ;10;2013;2;44.4
 WGC - Accenture Match Play Championship ;8;2013; T5 ;14.43
 Hyundai Tournament of Champions ;1;2013;2;27.6
 World Challenge presented by Northwestern Mutual ;48;2012;8;7.04
 TOUR Championship by Coca-Cola ;38;2012;22;3.72
 BMW Championship ;36;2012; T26 ;3.57
 Deutsche Bank Championship ;35;2012; T13 ;7.11
 The Barclays ;34;2012; T54 ;1.33
 US PGA CHAMPIONSHIP ;32;2012; T7 ;15.75
 WGC-Bridgestone Invitational ;31;2012; T2 ;38
 141st OPEN CHAMPIONSHIP ;29;2012; T23 ;5.11
 John Deere Classic ;28;2012; T5 ;7.92
 The Greenbrier Classic ;27;2012; T22 ;2.69
 U.S. OPEN CHAMPIONSHIP ;24;2012; T15 ;8.25
 the Memorial Tournament presented by Nationwide Insurance ;22;2012; T50 ;1.67
 THE PLAYERS Championship ;19;2012; MC ;0
 Zurich Classic of New Orleans ;17;2012;6;10.4
 MASTERS TOURNAMENT ;14;2012; T47 ;2.7
 Shell Houston Open ;13;2012; T36 ;1.83
 WGC - Cadillac Championship ;10;2012; T8 ;11.31
 WGC - Accenture Match Play Championship ;8;2012; T9 ;8.88
 Sony Open in Hawaii ;2;2012; T38 ;1.41
 Hyundai Tournament of Champions ;1;2012;1;38
 Chevron World Challenge ;49;2011;16;3.96
