 TOUR Championship by Coca-Cola ;38;2013; T22 ;3.54
 BMW Championship ;37;2013; T11 ;8.28
 Deutsche Bank Championship ;35;2013; T65 ;0
 The Barclays ;34;2013; T2 ;28.49
 US PGA CHAMPIONSHIP ;32;2013; T40 ;3.2
 World Golf Championships-Bridgestone Invitational ;31;2013;1;76
 THE 142nd OPEN CHAMPIONSHIP ;29;2013; T6 ;18
 U.S. OPEN CHAMPIONSHIP ;24;2013; T32 ;3.9
 The Memorial Tournament presented by Nationwide Insurance ;22;2013; T65 ;0
 THE PLAYERS Championship ;19;2013;1;80
 MASTERS TOURNAMENT ;15;2013; T4 ;27
 Arnold Palmer Invitational presented by MasterCard ;12;2013;1;66
 WGC - Cadillac Championship ;10;2013;1;74
 The Honda Classic ;9;2013; T37 ;2.05
 WGC - Accenture Match Play Championship ;8;2013; T33 ;2
 Farmers Insurance Open ;4;2013;1;50
 Abu Dhabi HSBC Golf Championship ;3;2013; MC ;0
 World Challenge presented by Northwestern Mutual ;48;2012; T4 ;10.85
 CIMB Classic ;43;2012; T4 ;8.88
 TOUR Championship by Coca-Cola ;38;2012; T8 ;9.61
 BMW Championship ;36;2012; T4 ;18.9
 Deutsche Bank Championship ;35;2012;3;29.6
 The Barclays ;34;2012; T38 ;2.48
 US PGA CHAMPIONSHIP ;32;2012; T11 ;10.43
 WGC-Bridgestone Invitational ;31;2012; T8 ;9.55
 141st OPEN CHAMPIONSHIP ;29;2012; T3 ;35
 The Greenbrier Classic ;27;2012; MC ;0
 AT&T National ;26;2012;1;48
 U.S. OPEN CHAMPIONSHIP ;24;2012; T21 ;5.75
 the Memorial Tournament presented by Nationwide Insurance ;22;2012;1;68
 THE PLAYERS Championship ;19;2012; T40 ;2.64
 Wells Fargo Championship ;18;2012; MC ;0
 MASTERS TOURNAMENT ;14;2012; T40 ;3.35
 Arnold Palmer Invitational presented by MasterCard ;12;2012;1;56
 WGC - Cadillac Championship ;10;2012; WD ;0
 Honda Classic ;9;2012; T2 ;25
 WGC - Accenture Match Play Championship ;8;2012; T17 ;4.42
 AT&T Pebble Beach Pro-Am ;6;2012; T15 ;3.24
 Abu Dhabi HSBC Championship ;4;2012; T3 ;18.17
 Chevron World Challenge ;49;2011;1;44
 Australian Open ;46;2011;3;16.8
