1,Henrik,Stenson,60
2,Steve,Stricker,30
2,Jordan,Spieth,30
4,Webb,Simpson,18
5,Dustin,Johnson,14.4
6,Justin,Rose,12
7,Zach,Johnson,10.2
7,Billy,Horschel,10.2
9,Sergio,Garcia,8.4
9,Roberto,Castro,8.4
9,Jason,Dufner,8.4
12,Phil,Mickelson,6.9
12,Keegan,Bradley,6.9
14,Jason,Day,5.55
14,Jim,Kuryk,5.55
14,Adam,Scott,5.55
14,Nick,Watney,5.55
18,Luke,Donald,4.65
18,Brendon,deJonge,4.65
20,Brandt,Snedeker,4.05
20,Hunter,Mahan,4.05
22,Tiger,Woods,3.54
22,Gary,Woodland,3.54
24,Bill,Haas,3.3
24,Kevin,Streelman,3.3
26,D.A.,Points,2.06
26,Matt,Kuchar,2.06
28,Graham,Delaet,2.88
29,Charl,Schwartzel,2.76
30,Boo,Weekley,2.7
