0,1,2,3,4,5,6,7,8,9,
0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
0.01,0.1997485624,0.1859324496,0.1903814009,0.1826494391,0.2060181674,0.1892631035,0.1980352789,0.1954953139,0.208538914,0.1967749111,
0.02,0.2032530481,0.1858288501,0.2009513108,0.1807239273,0.2117584158,0.1872952111,0.2031963117,0.179087752,0.1911137349,0.204494356,
0.03,0.2137767966,0.1964763875,0.2114924277,0.1917381991,0.2157769773,0.202612727,0.2191857496,0.1914499364,0.2034753916,0.2032279175,
0.04,0.2049673489,0.1934725304,0.2002773999,0.1980296199,0.232366301,0.2199455681,0.1960273665,0.1895695303,0.2132000042,0.2078797389,
0.05,0.2110703921,0.1760852336,0.2089684857,0.2171214056,0.2364000921,0.240220278,0.198567279,0.1950574834,0.2143716749,0.208958189,
0.06,0.2069358925,0.1708751524,0.2103014528,0.2097033729,0.2181633129,0.2466985073,0.2054982996,0.1955231413,0.2078123313,0.2108057963,
0.07,0.2132513345,0.16090099,0.2104122956,0.2135344112,0.2187691694,0.223665904,0.2153930897,0.1936009292,0.216043377,0.2084986856,
0.08,0.2188825121,0.1662922311,0.2031491607,0.2172143653,0.2113859284,0.2302431164,0.2080843172,0.204420405,0.2249142615,0.2032099752,
0.09,0.2204519301,0.170794886,0.2042597681,0.216244169,0.2082759251,0.2290739771,0.2178559674,0.2129777378,0.2135055786,0.2018354235,
0.1,0.2057020272,0.1881656728,0.1877346501,0.2130184632,0.1907870522,0.2222042853,0.2266601458,0.2072972284,0.2082022973,0.2048385485,
0.11,0.1856786611,0.1962328471,0.1727892116,0.2215613806,0.1868543092,0.2350602677,0.2166154052,0.2050030096,0.2011656956,0.2070917652,
0.12,0.1932811728,0.2086893675,0.1868130359,0.2201850425,0.1892900129,0.2264354719,0.2113891798,0.1841372052,0.1959582231,0.2005264086,
0.13,0.2048335323,0.2038231315,0.1851996129,0.2107165724,0.1874031669,0.2148667209,0.2091717212,0.1835990656,0.1948481584,0.1980182771,
