0,1,2,3,4,5,6,7,8,9,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.02,0.4894832888,0.539798875,0.4723219774,0.4949568086,0.5373723621,0.4572560984,0.4930582474,0.4909783999,0.4646803797,0.4548926184,
0.04,0.4884362699,0.5445862383,0.4443450921,0.4946846033,0.5080764293,0.4432770797,0.4567783395,0.471961388,0.4569181653,0.4563076335,
0.06,0.5047485903,0.4792061378,0.4574915745,0.485603177,0.4741169913,0.4155566761,0.4612661702,0.444893364,0.4580625767,0.4242574957,
0.08,0.4732554343,0.4860787215,0.4710181707,0.4756527321,0.4678511905,0.3925295353,0.4442782553,0.4190406905,0.454937704,0.416956708,
0.1,0.4791008821,0.4736004886,0.5102750689,0.4256927817,0.4585289475,0.3978409532,0.4082574248,0.4243868835,0.4271254825,0.414439141,
0.12,0.4593605865,0.4471413589,0.5001934495,0.4106659638,0.4551650589,0.3826713726,0.426295812,0.4456473061,0.4268846351,0.3935631799,
0.14,0.466143918,0.4708482479,0.4940711469,0.3901077451,0.4633132156,0.3811376283,0.4405640867,0.4502139489,0.4561936167,0.3857604765,
0.16,0.4710248435,0.4400419212,0.452426501,0.3580261163,0.4668467446,0.3870249225,0.4151393938,0.413432785,0.3914979376,0.3681202029,
0.18,0.4656381783,0.4019716882,0.4235633142,0.3766912715,0.4270066478,0.4089240904,0.375050957,0.4401712839,0.3782634768,0.3992199107,
0.2,0.4195139883,0.3621255266,0.4378394419,0.4029448943,0.3791315214,0.443117025,0.3934489469,0.4613402696,0.3850537029,0.3871547578,
0.22,0.3597914984,0.3413631212,0.3999978038,0.4129337343,0.3824958602,0.4616436553,0.356489231,0.431018196,0.3403846689,0.4187432474,
0.24,0.3727164116,0.2840062309,0.3780629259,0.4452581241,0.4045822733,0.4482816806,0.3612617694,0.4011336776,0.3093547351,0.3969198723,
0.26,0.3956555145,0.2772756897,0.3239230445,0.4256295292,0.4381919725,0.4512918557,0.2939905234,0.3526756658,0.2765598971,0.3975027066,
0.28,0.3987381748,0.2705119284,0.3494089752,0.3937838528,0.4081590526,0.4059711224,0.303356492,0.3338056134,0.3335056022,0.3552645494,
0.3,0.4252473639,0.2505929349,0.32629307,0.3973863948,0.4136365173,0.4053375394,0.330329243,0.3679867103,0.3460433418,0.3419035576,
0.32,0.4249776366,0.278051165,0.3279146337,0.3435154567,0.4264165126,0.4058610337,0.2848284624,0.3930459254,0.3449720395,0.3369175195,
0.34,0.4234315918,0.2920097809,0.2873260133,0.3005334209,0.437999803,0.4098156223,0.3069288051,0.3473025604,0.3247205657,0.3162269801,
0.36,0.4778015894,0.2732759485,0.3350622308,0.2608268629,0.4355282919,0.3385409469,0.2820190135,0.3773283537,0.3147045579,0.3402215669,
0.38,0.4729272473,0.2446260389,0.3495887882,0.2569061927,0.3938127399,0.3639184416,0.2978349837,0.3565513338,0.259074222,0.2721633301,
0.4,0.4262209282,0.2369425041,0.3758830417,0.2904760887,0.3679528299,0.319092501,0.2735616728,0.2997413016,0.2612526103,0.2699587923,
0.42,0.396461943,0.2418387344,0.381425935,0.3167102923,0.3546454961,0.2990403837,0.2828853985,0.2552597572,0.2328543886,0.2848267518,
0.44,0.3662207243,0.2643860417,0.3332932589,0.2771205094,0.3329244957,0.2732954385,0.311841705,0.235116992,0.2309845665,0.2639714382,
0.46,0.3529882052,0.2458108808,0.3165024785,0.2318928081,0.3709286305,0.2673325922,0.2594438881,0.216083532,0.2110300024,0.2832704182,
0.48,0.3691064952,0.2485777541,0.3384810953,0.1294531734,0.3893466069,0.2715789773,0.2504978212,0.2091303963,0.2142163573,0.2848207717,
0.5,0.3539688537,0.1881551572,0.3547940949,0.09400843263,0.3353104403,0.2699945768,0.2037616085,0.2378636427,0.1833242161,0.2673084724,
0.52,0.3468294278,0.2495623798,0.3653900102,0.06768965194,0.2979862993,0.2200449902,0.2337028577,0.2385423254,0.1769984603,0.237157377,
0.54,0.324245075,0.2092347221,0.362012627,0.09333118696,0.3208151735,0.2208854973,0.2155819179,0.2284874799,0.2079997088,0.2387204419,
